station_from_id,station_from_name,station_from_lat,station_from_lon,station_to_id,station_to_name,station_to_lat,station_to_lon,line,edge_distance_km
940GZZLUALD,Aldgate Underground Station,51.514246,-0.075689,940GZZLUTWH,Tower Hill Underground Station,51.509971,-0.076546,circle,0.47904357548571624
940GZZLUTWH,Tower Hill Underground Station,51.509971,-0.076546,940GZZLUMMT,Monument Underground Station,51.5107,-0.085969,circle,0.657135373346578
940GZZLUMMT,Monument Underground Station,51.5107,-0.085969,940GZZLUCST,Cannon Street Underground Station,51.51151,-0.090432,circle,0.3217204563702303
940GZZLUCST,Cannon Street Underground Station,51.51151,-0.090432,940GZZLUMSH,Mansion House Underground Station,51.512117,-0.094009,circle,0.2565743537156819
940GZZLUMSH,Mansion House Underground Station,51.512117,-0.094009,940GZZLUBKF,Blackfriars Underground Station,51.511581,-0.103659,circle,0.6704581992074258
940GZZLUBKF,Blackfriars Underground Station,51.511581,-0.103659,940GZZLUTMP,Temple Underground Station,51.511006,-0.11426,circle,0.7364052066430856
940GZZLUTMP,Temple Underground Station,51.511006,-0.11426,940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,circle,0.7288032593548937
940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,940GZZLUWSM,Westminster Underground Station,51.50132,-0.124861,circle,0.655874802174977
940GZZLUWSM,Westminster Underground Station,51.50132,-0.124861,940GZZLUSJP,St. James's Park Underground Station,51.499544,-0.133608,circle,0.6368578617823163
940GZZLUSJP,St. James's Park Underground Station,51.499544,-0.133608,940GZZLUVIC,Victoria Underground Station,51.496359,-0.143102,circle,0.7465585043461194
940GZZLUVIC,Victoria Underground Station,51.496359,-0.143102,940GZZLUSSQ,Sloane Square Underground Station,51.49227,-0.156377,circle,1.0253396409092326
940GZZLUSSQ,Sloane Square Underground Station,51.49227,-0.156377,940GZZLUSKS,South Kensington Underground Station,51.494094,-0.174138,circle,1.2462235905679608
940GZZLUSKS,South Kensington Underground Station,51.494094,-0.174138,940GZZLUGTR,Gloucester Road Underground Station,51.494316,-0.182658,circle,0.5903497139215862
940GZZLUGTR,Gloucester Road Underground Station,51.494316,-0.182658,940GZZLUHSK,High Street Kensington Underground Station,51.501055,-0.192792,circle,1.0264691159575534
940GZZLUHSK,High Street Kensington Underground Station,51.501055,-0.192792,940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,circle,0.9264830980700492
940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,940GZZLUBWT,Bayswater Underground Station,51.512284,-0.187938,circle,0.6652180660693167
940GZZLUBWT,Bayswater Underground Station,51.512284,-0.187938,940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,circle,0.9730082367091731
940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,940GZZLUERC,Edgware Road (Circle Line) Underground Station,51.519858,-0.167832,circle,0.6544691747658944
940GZZLUEBY,Ealing Broadway Underground Station,51.515017,-0.301457,940GZZLUECM,Ealing Common Underground Station,51.51014,-0.288265,district,1.06182915615042
940GZZLUECM,Ealing Common Underground Station,51.51014,-0.288265,940GZZLUACT,Acton Town Underground Station,51.503057,-0.280462,district,0.9549643076089174
940GZZLUACT,Acton Town Underground Station,51.503057,-0.280462,940GZZLUCWP,Chiswick Park Underground Station,51.494627,-0.267972,district,1.2752164037575426
940GZZLUCWP,Chiswick Park Underground Station,51.494627,-0.267972,940GZZLUTNG,Turnham Green Underground Station,51.495148,-0.254555,district,0.9306401225794086
940GZZLUTNG,Turnham Green Underground Station,51.495148,-0.254555,940GZZLUSFB,Stamford Brook Underground Station,51.494917,-0.245704,district,0.6132752947829068
940GZZLUSFB,Stamford Brook Underground Station,51.494917,-0.245704,940GZZLURVP,Ravenscourt Park Underground Station,51.494122,-0.235881,district,0.6857560670590415
940GZZLURVP,Ravenscourt Park Underground Station,51.494122,-0.235881,940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,51.4923,-0.22362,district,0.8726812515305831
940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,51.4923,-0.22362,940GZZLUBSC,Barons Court Underground Station,51.490311,-0.213427,district,0.7395441588636787
940GZZLUBSC,Barons Court Underground Station,51.490311,-0.213427,940GZZLUWKN,West Kensington Underground Station,51.490459,-0.206636,district,0.47046329190751285
940GZZLUWKN,West Kensington Underground Station,51.490459,-0.206636,940GZZLUECT,Earl's Court Underground Station,51.492063,-0.193378,district,0.9350685758909605
940GZZLUECT,Earl's Court Underground Station,51.492063,-0.193378,940GZZLUGTR,Gloucester Road Underground Station,51.494316,-0.182658,district,0.7832971216365525
940GZZLUGTR,Gloucester Road Underground Station,51.494316,-0.182658,940GZZLUSKS,South Kensington Underground Station,51.494094,-0.174138,district,0.5903497139215862
940GZZLUSKS,South Kensington Underground Station,51.494094,-0.174138,940GZZLUSSQ,Sloane Square Underground Station,51.49227,-0.156377,district,1.2462235905679608
940GZZLUSSQ,Sloane Square Underground Station,51.49227,-0.156377,940GZZLUVIC,Victoria Underground Station,51.496359,-0.143102,district,1.0253396409092326
940GZZLUVIC,Victoria Underground Station,51.496359,-0.143102,940GZZLUSJP,St. James's Park Underground Station,51.499544,-0.133608,district,0.7465585043461194
940GZZLUSJP,St. James's Park Underground Station,51.499544,-0.133608,940GZZLUWSM,Westminster Underground Station,51.50132,-0.124861,district,0.6368578617823163
940GZZLUWSM,Westminster Underground Station,51.50132,-0.124861,940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,district,0.655874802174977
940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,940GZZLUTMP,Temple Underground Station,51.511006,-0.11426,district,0.7288032593548937
940GZZLUTMP,Temple Underground Station,51.511006,-0.11426,940GZZLUBKF,Blackfriars Underground Station,51.511581,-0.103659,district,0.7364052066430856
940GZZLUBKF,Blackfriars Underground Station,51.511581,-0.103659,940GZZLUMSH,Mansion House Underground Station,51.512117,-0.094009,district,0.6704581992074258
940GZZLUMSH,Mansion House Underground Station,51.512117,-0.094009,940GZZLUCST,Cannon Street Underground Station,51.51151,-0.090432,district,0.2565743537156819
940GZZLUCST,Cannon Street Underground Station,51.51151,-0.090432,940GZZLUMMT,Monument Underground Station,51.5107,-0.085969,district,0.3217204563702303
940GZZLUMMT,Monument Underground Station,51.5107,-0.085969,940GZZLUTWH,Tower Hill Underground Station,51.509971,-0.076546,district,0.657135373346578
940GZZLUTWH,Tower Hill Underground Station,51.509971,-0.076546,940GZZLUADE,Aldgate East Underground Station,51.515037,-0.072384,district,0.6326733968698344
940GZZLUADE,Aldgate East Underground Station,51.515037,-0.072384,940GZZLUWPL,Whitechapel Underground Station,51.519518,-0.059971,district,0.9929704305314422
940GZZLUWPL,Whitechapel Underground Station,51.519518,-0.059971,940GZZLUSGN,Stepney Green Underground Station,51.521858,-0.046596,district,0.9612874591962262
940GZZLUSGN,Stepney Green Underground Station,51.521858,-0.046596,940GZZLUMED,Mile End Underground Station,51.525122,-0.03364,district,0.9670488331099445
940GZZLUMED,Mile End Underground Station,51.525122,-0.03364,940GZZLUBWR,Bow Road Underground Station,51.52694,-0.025128,district,0.6226003144646983
940GZZLUBWR,Bow Road Underground Station,51.52694,-0.025128,940GZZLUBBB,Bromley-by-Bow Underground Station,51.524839,-0.011538,district,0.9687628115805836
940GZZLUBBB,Bromley-by-Bow Underground Station,51.524839,-0.011538,940GZZLUWHM,West Ham Underground Station,51.528136,0.005055,district,1.2050288319051239
940GZZLUWHM,West Ham Underground Station,51.528136,0.005055,940GZZLUPLW,Plaistow Underground Station,51.531341,0.017451,district,0.9286051342253482
940GZZLUPLW,Plaistow Underground Station,51.531341,0.017451,940GZZLUUPK,Upton Park Underground Station,51.53534,0.035263,district,1.309841300360384
940GZZLUUPK,Upton Park Underground Station,51.53534,0.035263,940GZZLUEHM,East Ham Underground Station,51.538948,0.051186,district,1.1720980954259148
940GZZLUEHM,East Ham Underground Station,51.538948,0.051186,940GZZLUBKG,Barking Underground Station,51.539321,0.081053,district,2.0660483698156558
940GZZLUBKG,Barking Underground Station,51.539321,0.081053,940GZZLUUPY,Upney Underground Station,51.538372,0.10153,district,1.4201449698132518
940GZZLUUPY,Upney Underground Station,51.538372,0.10153,940GZZLUBEC,Becontree Underground Station,51.540331,0.127016,district,1.776038294309093
940GZZLUBEC,Becontree Underground Station,51.540331,0.127016,940GZZLUDGY,Dagenham Heathway Underground Station,51.541639,0.147527,district,1.4259407235802168
940GZZLUDGY,Dagenham Heathway Underground Station,51.541639,0.147527,940GZZLUDGE,Dagenham East Underground Station,51.544096,0.166017,district,1.3075434314902954
940GZZLUDGE,Dagenham East Underground Station,51.544096,0.166017,940GZZLUEPK,Elm Park Underground Station,51.549775,0.19864,district,2.342570107754237
940GZZLUEPK,Elm Park Underground Station,51.549775,0.19864,940GZZLUHCH,Hornchurch Underground Station,51.554093,0.219116,district,1.4949452529096856
940GZZLUHCH,Hornchurch Underground Station,51.554093,0.219116,940GZZLUUPB,Upminster Bridge Underground Station,51.55856,0.235809,district,1.2564207182306448
940GZZLUUPB,Upminster Bridge Underground Station,51.55856,0.235809,940GZZLUUPM,Upminster Underground Station,51.559063,0.250882,district,1.0435131966138453
940GZZLURMD,Richmond Underground Station,51.463237,-0.301336,940GZZLUKWG,Kew Gardens Underground Station,51.477058,-0.285241,district,1.8986005484954676
940GZZLUKWG,Kew Gardens Underground Station,51.477058,-0.285241,940GZZLUGBY,Gunnersbury Underground Station,51.491803,-0.275267,district,1.7790929796579713
940GZZLUGBY,Gunnersbury Underground Station,51.491803,-0.275267,940GZZLUTNG,Turnham Green Underground Station,51.495148,-0.254555,district,1.4813549995484254
940GZZLUWIM,Wimbledon Underground Station,51.421207,-0.206573,940GZZLUWIP,Wimbledon Park Underground Station,51.434573,-0.199719,district,1.5603482910142141
940GZZLUWIP,Wimbledon Park Underground Station,51.434573,-0.199719,940GZZLUSFS,Southfields Underground Station,51.445073,-0.206602,district,1.2612550558491946
940GZZLUSFS,Southfields Underground Station,51.445073,-0.206602,940GZZLUEPY,East Putney Underground Station,51.459205,-0.211,district,1.6006849564851577
940GZZLUEPY,East Putney Underground Station,51.459205,-0.211,940GZZLUPYB,Putney Bridge Underground Station,51.468262,-0.208731,district,1.0192853887890074
940GZZLUPYB,Putney Bridge Underground Station,51.468262,-0.208731,940GZZLUPSG,Parsons Green Underground Station,51.475277,-0.20117,district,0.9395277285385034
940GZZLUPSG,Parsons Green Underground Station,51.475277,-0.20117,940GZZLUFBY,Fulham Broadway Underground Station,51.480081,-0.195422,district,0.6661919490925751
940GZZLUFBY,Fulham Broadway Underground Station,51.480081,-0.195422,940GZZLUWBN,West Brompton Underground Station,51.487268,-0.195599,district,0.7992519184581998
940GZZLUWBN,West Brompton Underground Station,51.487268,-0.195599,940GZZLUECT,Earl's Court Underground Station,51.492063,-0.193378,district,0.5549115783260825
940GZZLUECT,Earl's Court Underground Station,51.492063,-0.193378,940GZZLUHSK,High Street Kensington Underground Station,51.501055,-0.192792,district,1.0006873639119171
940GZZLUHSK,High Street Kensington Underground Station,51.501055,-0.192792,940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,district,0.9264830980700492
940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,940GZZLUBWT,Bayswater Underground Station,51.512284,-0.187938,district,0.6652180660693167
940GZZLUBWT,Bayswater Underground Station,51.512284,-0.187938,940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,district,0.9730082367091731
940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,940GZZLUERC,Edgware Road (Circle Line) Underground Station,51.519858,-0.167832,district,0.6544691747658944
940GZZLUKOY,Kensington (Olympia) Underground Station,51.497624,-0.210015,940GZZLUECT,Earl's Court Underground Station,51.492063,-0.193378,district,1.3072466489294936
940GZZLUHSC,Hammersmith (H&C Line) Underground Station,51.49339,-0.22503,940GZZLUGHK,Goldhawk Road Underground Station,51.502005,-0.226715,hammersmith-city,0.9650195407459996
