station_id,station_name,lat,lon,lines_served,num_lines
940GZZLUKEN,Kenton Underground Station,51.581756,-0.31691,['bakerloo'],1
940GZZLUKWG,Kew Gardens Underground Station,51.477058,-0.285241,['district'],1
940GZZLUKPK,Kilburn Park Underground Station,51.534979,-0.194232,['bakerloo'],1
940GZZLUKBN,Kilburn Underground Station,51.547183,-0.204248,['jubilee'],1
940GZZDLKGV,King George V DLR Station,51.502003,0.062624,['dlr'],1
940GZZLUKSX,King's Cross St. Pancras Underground Station,51.530663,-0.123194,"['circle', 'hammersmith-city', 'metropolitan', 'northern', 'piccadilly', 'victoria']",6
940GZZLUKBY,Kingsbury Underground Station,51.584845,-0.27879,['jubilee'],1
940GZZLUKNB,Knightsbridge Underground Station,51.501669,-0.160508,['piccadilly'],1
940GZZLULAD,Ladbroke Grove Underground Station,51.517449,-0.210391,"['circle', 'hammersmith-city']",2
940GZZLULBN,Lambeth North Underground Station,51.498808,-0.112315,['bakerloo'],1
940GZZLULGT,Lancaster Gate Underground Station,51.511723,-0.175494,['central'],1
940GZZDLLDP,Langdon Park DLR Station,51.515172,-0.01415,['dlr'],1
910GLANGLEY,Langley (Berks) Rail Station,51.508062,-0.541756,['elizabeth'],1
940GZZLULRD,Latimer Road Underground Station,51.513389,-0.217799,"['circle', 'hammersmith-city']",2
940GZZLULSQ,Leicester Square Underground Station,51.511386,-0.128426,"['northern', 'piccadilly']",2
940GZZDLLEW,Lewisham DLR Station,51.464665,-0.012874,['dlr'],1
940GZZLULYN,Leyton Underground Station,51.556589,-0.005523,['central'],1
940GZZLULYS,Leytonstone Underground Station,51.568324,0.008194,['central'],1
940GZZDLLIM,Limehouse DLR Station,51.512393,-0.039809,['dlr'],1
910GLIVSTLL,Liverpool Street,51.517721,-0.082043,"['central', 'circle', 'elizabeth', 'hammersmith-city', 'metropolitan']",5
940GZZLULVT,Liverpool Street Underground Station,51.517372,-0.083182,"['central', 'circle', 'elizabeth', 'hammersmith-city', 'metropolitan']",5
940GZZLULNB,London Bridge Underground Station,51.505721,-0.088873,"['jubilee', 'northern']",2
940GZZDLLCA,London City Airport DLR Station,51.503416,0.048739,['dlr'],1
940GZZLULGN,Loughton Underground Station,51.641443,0.055476,['central'],1
940GZZLUMVL,Maida Vale Underground Station,51.529777,-0.185758,['bakerloo'],1
910GMDNHEAD,Maidenhead Rail Station,51.518669,-0.72266,['elizabeth'],1
940GZZLUMRH,Manor House Underground Station,51.570738,-0.096118,['piccadilly'],1
910GMANRPK,Manor Park Rail Station,51.552477,0.046342,['elizabeth'],1
940GZZLUMSH,Mansion House Underground Station,51.512117,-0.094009,"['circle', 'district']",2
940GZZLUMBA,Marble Arch Underground Station,51.513424,-0.158953,['central'],1
910GMRYLAND,Maryland Rail Station,51.546081,0.005815,['elizabeth'],1
940GZZLUMYB,Marylebone Underground Station,51.522322,-0.163207,['bakerloo'],1
940GZZLUMED,Mile End Underground Station,51.525122,-0.03364,"['central', 'district', 'hammersmith-city']",3
940GZZLUMHL,Mill Hill East Underground Station,51.608229,-0.209986,['northern'],1
940GZZLUMMT,Monument Underground Station,51.5107,-0.085969,"['central', 'circle', 'district', 'dlr', 'northern', 'waterloo-city']",6
940GZZLUMPK,Moor Park Underground Station,51.629845,-0.432454,['metropolitan'],1
940GZZLUMGT,Moorgate Underground Station,51.518176,-0.088322,"['circle', 'hammersmith-city', 'metropolitan', 'northern']",4
940GZZLUMDN,Morden Underground Station,51.402142,-0.194839,['northern'],1
940GZZLUMTC,Mornington Crescent Underground Station,51.534679,-0.138789,['northern'],1
940GZZDLMUD,Mudchute DLR Station,51.490704,-0.014738,['dlr'],1
940GZZLUNDN,Neasden Underground Station,51.553986,-0.249837,['jubilee'],1
940GZZLUNBP,Newbury Park Underground Station,51.575726,0.090004,['central'],1
